exercice,article_2025,meilleur_match_2024,score_similarite,diagnostic
2025,"bois ouvrés et semi-ouvrés, le taux du droit de sortie applicable aux bois ouvrés de la",Opérations de reboisement et la création de bois,0.7929,CONTINUITÉ
2025,"position tarifaire 4409, issus de la troisième transformation et se classant à un niveau",• les morues de la sous-position tarifaire 0305.62.00.000.,0.7338,CONTINUITÉ
2025,"intermédiaire entre les ouvrages en bois finis et ceux débités, est de 5% de la valeur",Cercueils en bois et autres ouvrages en bois 25%,0.6673,RUPTURE
2025,"FOB de l'essence, sous réserve de la production d'un certificat délivré par le Ministère",75 % de la valeur FOB du volume de l'essence. Ce taux demeure fixé à 60 % à l'entrée desdits,0.5765,RUPTURE
2025,"technique compétent, attestant de leur catégorisation.",l'efficacité et l'efficience Taux de réalisation des,0.7384,CONTINUITÉ
2025,"SEftVICE OU FICHL;s.l-tG""ISL.A.TIF ET REGLE ENTI\IRE",GOUVERNANCwE ET APPUI Taux de réalisation des,0.7126,CONTINUITÉ
2025,"(2) Le cacao, l'hévéa et le bois en grumes bénéficient à l'exportation d'un abattement","cacao en fève importé, y compris celui destiné à être utilisé comme matière première",0.7802,CONTINUITÉ
2025,"de 20% sur la valeur FOB (Free On Board), lorsqu'ils sont couverts par un certificat","7) Sont fixés à FCFA 100 000, les frais de délivrance des autorisations des",0.5849,RUPTURE
2025,"délivré par le Ministère technique compétent, attestant de la conformité aux normes",document de navigabilité ou aux règles relatives au maintien en état de validité de,0.6883,RUPTURE
2025,ARTICLE ONZIÈME.� Levée et apurement des déclarations d'importation et/ou,ARTICLE SEPTIÈME.- Soumission de certains biens importés au droit d'accises ad,0.7858,CONTINUITÉ
2025,(1) En prélude à toute opération d'importation ou d'exportation de marchandises dont,Les biens importés ci-après sont soumis aux droits d'accises ad valorem ainsi qu'il suit :,0.7344,CONTINUITÉ
2025,"la valeur FOS est supérieure à 1 000 000 de F CFA, les opérateurs économiques sont",ressources et en emplois à F.CFA 6 740 100 000 000 dont F.CFA 6,0.7196,CONTINUITÉ
2025,"astreints, conformément aux dispositions des articles 53 et 62 du Règlement",Les dispositions de l'article quatorzième de la loi n°96/08 du 1er ju m illet 1996 portant loi de,0.8325,CONTINUITÉ
2025,02/18/CEMAC/UMAC/CM du 21 décembre 2018 portant réglementation des,"officielles, consacrée par la loi N°2020/010 du",0.743,CONTINUITÉ
2025,"changes dans la CEMAC, à la levée d'une déclaration d'importation ou d'exportation",Programme de Vérification des Importations (PVI) affectée à !'Agence Nationale des Normes,0.7709,CONTINUITÉ
2025,"à travers la plateforme du Guichet Unique du Commerce Extérieur, par l'intermédiaire",Concurrente et commerce électronique dans les,0.6545,RUPTURE
2025,(2) Toute importation ou exportation d'une valeur FOB supérieure à 1 000 000 de,f) de FCFA 100 000 à FCFA 1 000 000 et d'une pénalité égale à la valeur des,0.6701,RUPTURE
2025,F CFA non couverte par une déclaration d'importation ou d'exportation est passible,"cent mille (100 000) F CFA, par opération, ne sont pas admises en déduction lorsqu'elles",0.6809,RUPTURE
2025,"d'une amende égale à 50% de la valeur imposcable des marchandises concernées, à",- 50% de l'excèdent budgétaire constaté à la fin de l'exercice sur les,0.7516,CONTINUITÉ
2025,l'exception des importations relevant du régime des franchises des droits et taxes de,droits d'accises avant son importation par un opérateur économique ;,0.7715,CONTINUITÉ
2025,"douane, conformément à la législation en vigueur.",conformément à la réglementation douanière en vigueur.,0.9335,CONTINUITÉ
2025,(3} les déclaraUons d'importation ou d'exportation visées à l'alinéa 1 ci-dessus doivent,6. La réexportation des biens visés aux alinéas 1 et 2 ci-dessus demeure subordonnée au,0.7895,CONTINUITÉ
2025,être ensuite domiciliées auprès d'un intermédiaire agréé chargé des opérations de,compétent dans les conditions et délais appliqués aux autres transactions. Ces,0.6477,RUPTURE
2025,"transfert de fonds afférents aux marchandises concernées, dès lors que celles-ci","effectifs des paiements y relatifs, la méthode de détermination des prix de transfert",0.7676,CONTINUITÉ
2025,"portent sur une valeur FOB (free on board) de 5 000 000 de F CFA, conformément",5 Usurpation de commandement 18.000 à 360.000 f CFA,0.7482,CONTINUITÉ
2025,aux dispositions du Règlement n° 02/18/CEMAC/UMAC/CM du 21 décembre 2018,Les dispositions de l'article vingt-troisième de la loi N°2022/020 du 27 décembre 2022 portant,0.8391,CONTINUITÉ
2025,portant réglementationw des changes dans la CEMAC.,réglementation des changes dans la CEMAC. Ils doivent en outre détenir les justificatifs de,0.905,CONTINUITÉ
2025,Le défaut de domiciliation desdites opérations est sanctionné par une amende de,celle du produit des amendes affectées par la loi n°2011/022 du 14 décembre 2011 régissant,0.6176,RUPTURE
2025,10 % du montant de la transaction conformément aux dispositions des articles 159 et,1 Amendes et transactions 90 000 000 90 000 000,0.7423,CONTINUITÉ
2025,"(4) Les importateurs, exportateurs et leurs mandataires qui ont levé des déclarations",direct et les déclarations de placement des marchandises dans les régimes suspensifs et,0.7046,CONTINUITÉ
2025,d'importation ou d'exportation sont tenus d'apurer celles-ci avant le délai d'expiration,Programme de Vérification des Importations (PVI) affectée à !'Agence Nationale des Normes,0.6436,RUPTURE
2025,"fixé à six (06) mois, par l'importation ou l'exportation effective des marchandises","droits et taxes de douane à l'importation, pour une période de vingt-quatre (24) mois, à compter",0.6736,RUPTURE
2025,Lorsque les circonstances commerciales ou indépendantes de la volonté du,"a) Sont assujettis au paiement des frais visés par le présent alinéa, les titulaires des",0.6788,RUPTURE
2025,"souscripteur de la déclaration d'importation ou d'exportation l'exigent, celle-ci peut être",Programme de Vérification des Importations (PVI) affectée à !'Agence Nationale des Normes,0.7097,CONTINUITÉ
2025,prorogée exceptionnellement par le Ministre chargé des finances pour une période,précisées par un texte particulier du Ministre en charge des finances.,0.8777,CONTINUITÉ
2025,"supplémentaire de trois (03) mois non renouvelable, à l'exception des machines et",échéancier qui ne saurait dépasser trois moisc ;,0.6857,RUPTURE
2025,autres biens d'équipements nécessitant des délais d'importation plus longs en raison,Il faut souligner que l’accélération de la tant qu’outil support pour la fourniture des,0.6129,RUPTURE
2025,"des contraintes de production après commande, qui peuvent bénéficier d'une",aux étapes du processus de production. La production statistique concerne la,0.8286,CONTINUITÉ
2025,prorogation d'une durée n'excédant pas six (06) mois.,"dispose alors d'un délai de sept (07) jours pour régulariser sa situation, à compter de la",0.6984,RUPTURE
2025,(5) Les intermédiaires agréés sont tenus de communiquer mensuellement à,(2) Les communications de renseignements sont effectuées dans les conditions,0.5817,RUPTURE
2025,"l'Administration des Douanes, par voie électronique, au plus tard le 05 de chaque mois,","spécifiques, l'Administration des Douanes est habilitée à organiser des contrôles conjoints",0.5878,RUPTURE
2025,en vue de l'importation des biens et n'ayant pas fait l'objet d'apurement dans les délais,ARTICLE SEPTIÈME.- Soumission de certains biens importés au droit d'accises ad,0.7264,CONTINUITÉ
2025,LEGISLAT I �E CE ST R A! T UT I O F R - Y I A E F · f E - �I R C S - C O AR -N O l F ti - O O E:r: R - S V - I E CE 4,C ERT T I O F RY l A � ff E AI R c S C o AR � O 110 o !� � ME 88,0.836,CONTINUITÉ
2025,Le défaut de transmission des opérations non apurées ci-dessus est assimilé à un,2. La violation de l'obligation visée à l'alinéa 1 ci-dessus est assimilée à une omission,0.5865,RUPTURE
2025,refus de communication de pièces et sanctionné conformément aux dispositions de,"Refus de communiquer aux autorités chargées d'enquêter, les enregistrements, les",0.7888,CONTINUITÉ
2025,en cas de complicité ou d'intéressé à la fraude établis.,"opérations de contrôles et de répression de fraudes,",0.7809,CONTINUITÉ
2025,(6) Avant toute opération de transfert en une traite de fonds vers l'étranger d'un,- les transferts de fonds à l'étranger desr contribuables professionnels;,0.7666,CONTINUITÉ
2025,"montant supérieur à 100 000 000 de FCFA, l'intermédiaire agréé domiciliataire d'une",d)de FCFA 100 000 à FCFA 1 000 000 et d'une pénalité de FCFA 20 000 à FCFA,0.8647,CONTINUITÉ
2025,"importation est tenu de procéder à une vérification approfondie sur l'existence réelle,",Programme de Vérification des Importations (PVI) affectée à !'Agence Nationale des Normes,0.6004,RUPTURE
2025,"la domiciliation effective, l'authenticité de la documentation produite et les capacités",travers l’information fiable qu’elle doit offrir sur,0.7141,CONTINUITÉ
2025,"financières de son client donneur d'ordre, en lien avec les exigences liées aux",des entreprises associées concernées par les transactions ainsi que des bénéficiaires,0.7609,CONTINUITÉ
2025,"bénéficiaires effectifs et en particulier pour les entreprises de moins de trois ans d'âge,",des entreprises associées concernées par les transactions ainsi que des bénéficiaires,0.5626,RUPTURE
2025,sous peine d'engager sa responsabilité comme complice ou intéressé à la fraude.,"opérations de contrôles et de répression de fraudes,",0.6161,RUPTURE
2025,(7) Les personnes qui transfèrent des fonds d'un montant annuel cumulé de,"balance des paiements, les statistiques sur les",0.7776,CONTINUITÉ
2025,100 000 000 de FCFA à l'étranger sur la base des déclaractions d'importation de biens,625 Impôts sur le commerce extérieur et les transactions internationales 1500000 1500000,0.7206,CONTINUITÉ
2025,"et services y afférents, sans contrepartie effective en termes d'importation de biens et","réalisent des opérations de vente d'un bien, de fourniture d'un service ou d'échange",0.6897,RUPTURE
2025,"services y afférents, sont passibles d'une peine d'emprisonnement allant de 1 à 12",Détention sans justificatif de la provenance d'une,0.5784,RUPTURE
2025,"mois, avec suspension ou interdiction d'ouverture de nouvelles déclarations","l'autorité saisie ou, en cas de silence, après l'expiration du délai imparti à cette dernière pour",0.6484,RUPTURE
2025,"d'importation, sans préjudice des autres sanctions prévues par la réglementation en",l'importation dans les conditions fixées par la législation fiscalo-douanière.,0.7349,CONTINUITÉ
2025,"Dans ce cas, l'Administration des Douanes fixe, recouvre l'amende et met le",d'office des amendes infligées par l'Administration des Douanes.,0.6769,RUPTURE
2025,contrevenant concerné à la disposition de ta juridichon compétente pour l'exercice de,GOUVERNANCE ET APPUI Assurer la bonne mise en Taux de réalisation des,0.7116,CONTINUITÉ
2025,"Toutefois, lesdites personnes sont absoutes de peine lorsqu'elles rapportent la preuve,","A l’observation des faits, de manière de désuètes tient au fait d’une mauvaise",0.6735,RUPTURE
2025,"à la satisfaction de l'Administration des Douanes, que les fonds initialement transférés",ARTICLE DIX-SEPTIÈME.- - Instauration d'une redevance pour le financement de la,0.7007,CONTINUITÉ
2025,en couverture de l'opéwration d'importation envisagée ont été rapatriés postérieurement,6. La réexportation des biens visés aux alinéas 1 et 2 ci-dessus demeure subordonnée au,0.7234,CONTINUITÉ
2025,ARTICLE DOUZIÈME.- Sanction des opérations frontalières masquant le blanchiment,leur détenteur lors du franchissement des frontières,0.7114,CONTINUITÉ
2025,(1) Dans le cadre de l'exercice des missions dévolues suivant les dispositions de,2) Les modalités d'applicatio.n des dispositions de l'alinéa 1 ci-dessus sont,0.7179,CONTINUITÉ
2025,à recourir à des moyens et mesures appropriés de lutte contre le blanchiment des,ARTICLE QUARANTE- HUITIÈME.-Le plafond des ressources destinées à approvisionner le,0.7233,CONTINUITÉ
2025,"capitaux aux frontières, notamment l'utilisation de chiens et autres dispositifs de",vétérinaire sur le commerce international et des autres taxes d'inspection sanitaire vétérinaire,0.6479,RUPTURE
2025,"(2) A l'occasion des contrôles, les agents des douanes sont habilités à procéder à la",1. Lorsque des contrôles douaniers à posteriori exigent des compétences techniques,0.8372,CONTINUITÉ
2025,saisie de sommes en espèces et les instruments monétaires détenus par les,"balance des paiements, les statistiques sur les",0.758,CONTINUITÉ
2025,voyageurs en marge de la législation en vigueur ainsi que tout bien identifié et établi,6) Les frais de délivrance des autorisations de gestion des voyages dans les,0.6647,RUPTURE
2025,comme servant au blanchiment du produit des délits ou destiné à financer des actes,les infractions constatées lors des transactions,0.7792,CONTINUITÉ
2025,"de terrorisme, et à le faire confisquer par le juge compétent.",de la nature de l'acte suspensif des poursuites doit être faite sur l'attestation de,0.7415,CONTINUITÉ
2025,(3) Les intermédiaires agréés au moyen des exigences liées au bénéficiaire effectif et,"entre autres), ainsi que les dépositaires de  les partenaires techniques et financiers",0.6691,RUPTURE
2025,"aux règles de prudence, ainsi que les acteurs de la chaine logistique et de",1. Lorsque des contrôles douaniers à posteriori exigent des compétences techniques,0.7521,CONTINUITÉ
2025,dédouanement qui ont connaissance de l'utilisation des opérations douanières à des,générale à toutes les opérations douanières relatives au commerce extérieur lorsque,0.8173,CONTINUITÉ
2025,"fins de blanchiment de capitaux et/ou de financement du terrorisme, sont tenus d'en","régime financier de l’Etat. En effet, ces lois",0.6662,RUPTURE
2025,"informer l'Administration des Douanes par alerte confidentielle, sous peine",(3) L'émission et la notification au contribuable de l'Avis de Mise en Recouvrement peuvent,0.7156,CONTINUITÉ
2025,d'engagement ultérieur de leur responsabilité comme complice ou intéressé à la,des actions impliquant l'entrée d'un nouvel associé ou actionnaire dans le,0.7612,CONTINUITÉ
2025,"LEGISLAT I TATUTORY AH4.IRS CA""O l>iO .. SERVICE","SERVICE O S U E FI C CH R I E ER T A .. R - IA . T � , IF ET RE ,, G A L l E M '"" E ' N ""' T AI �",0.6765,RUPTURE
2025,ARTICLE TREIZIÈME.- Sanction de la communication des informations fausses ou,"renseignements erronés constitue un faux, passible des sanctions prévues par le Code",0.8112,CONTINUITÉ
2025,(1) Dans le cadre de l'exercice du droit de communication particulier prévu à l'article,"communication sociale, ou contrevient aux dispositions de la loi sur· la",0.7536,CONTINUITÉ
2025,"105 du Code des Douanes CEMAC, les personnes requises sont tenues de","1. En application des dispositions des articles 117, 122 et 124 du Code des Douanes CEMAC,",0.7574,CONTINUITÉ
2025,"transmettre à l'Administration des Douanes les informations précises, exactes et",apporté des informations importantes pouvant concourant au bon fonctionnement du,0.781,CONTINUITÉ
2025,"exhaustives sollicitées, suivant les formes et délais prescrits.",demande. Le calendrier sur la disponibilité personnalisés sur demande et sur les,0.7267,CONTINUITÉ
2025,"(2) La communication d'informations inexactes ou incomplètes, pourtant détenues par",(2) Les communications de renseignements sont effectuées dans les conditions,0.7166,CONTINUITÉ
2025,les personnes requises par l'Administration des Douanes dans le cadre de l'exercice,formation des personnels sanitaires relevant du MINSANTE.,0.667,RUPTURE
2025,"du droit de communication particulier, est assimilée à un acte de complicité ou","communication sociale, ou contrevient aux dispositions de la loi sur· la",0.7566,CONTINUITÉ
2025,d'intéressé à la fraude et sanctionnée conformément aux dispositions des articles 452,"opérations de contrôles et de répression de fraudes,",0.7712,CONTINUITÉ
2025,"et 453 du Code des Douanes CEMAC, sans préjudice des autres peines prévues par","1. En application des dispositions des articles 398 et 399 du Code des Douanes CEMAC, le",0.8238,CONTINUITÉ
2025,"ARTICLE QUATORZIÈME.- Les dispositions des articles 7, 8 bis, 8 ter, 17 ter, 21, 36,","ARTICLE QUINZIÈME.-Les dispositions des articles 7,8 bis, 8 ter, 18,1 8 ter, 18 quater, 18",0.9382,CONTINUITÉ
2025,"19 bis, L 20 bis, L 40, L 41 bis, L 71, L 76, L 78, L 79, L 86, L 86 ter, L 104, L 104 bis","bis, L 53, L 7w9, L 86, L 94 bis, L 94ter,L 94 quater, L 104, L 104ter, L 108, L 121 (nouveau),",0.905,CONTINUITÉ
2025,et L 116 du Code Général des Impôts sont modifiées et/ou complétées ainsi qu'il suit:,"L 125, L 145 du Code Général des Impôts, sont modifiées et/ou complétées ainsi qu'il suit:",0.8466,CONTINUITÉ
2025,"nécessitées directement par l'exercice de l'activité cimposable au Cameroun,","directement par l'exercice de l'activité imposable au Cameroun, notamment:",0.8908,CONTINUITÉ
2025,"d) Sous réserve des Conventions internationales, sont admises comme charges,","d) Sous réserve des Conventions internationales, sont admises comme charges,",1.0,CONTINUITÉ
2025,• Les frais généraux de siège pour la part incombant aux opérations faites au,• Les frais généraux de siège pour la part incombant aux opérations faites au,1.0,CONTINUITÉ
2025,"Cameroun et les rémunérations de certains services effectifs (études,","Cameroun et les rémunérations de certains services effectifs ( études,",0.9993,CONTINUITÉ
2025,"asswistance technique, financière ou comptable) rendus aux entreprises","assistance technique, financière ou comptable) rendus aux entreprises",0.8918,CONTINUITÉ
2025,camerounaises par les personnes physiques ou morales étrangères ou,camerounaises par les personnes physiques ou morales étrangères ou,1.0,CONTINUITÉ
2025,bénéfice imposable avant déduction des frais en cause.,bénéfice imposable avant déduction des frais en cause.,1.0,CONTINUITÉ
2025,"En cas de déficit, cette disposition s'applique sur les résultats du dernier","En cas de déficit, cette disposition s'applique sur les résultats du dernier",1.0,CONTINUITÉ
2025,"exercice bénéficiaire non prescrit. Toutefois, pour les entreprises en situation","exercice bénéficiaire non prescrit. Toutefois, pour les entreprises en situation",1.0,CONTINUITÉ
2025,"de déficit continu et les entreprises nouvelles en situation de déficit, la","de déficit continu et les entreprises nouvelles en situation de déficit, la limitation",0.9828,CONTINUITÉ
2025,limitation s'applique sur le chiffre d'affaires au taux de 1% . En cas d'absence,s'applique sur le chiffre d'apffaires au taux de 1 %. En cas d'absence de chiffre,0.8359,CONTINUITÉ
2025,"de chiffre d'affaires, la base de calcul du plafonnement est constituée du","après, déterminés en fonction du chiffre d'affaires réalisé",0.8359,CONTINUITÉ
2025,La limitation prévue ci-dessus est fixée à 1 % du chiffre d'affaires pour les,s'applique sur le chiffre d'apffaires au taux de 1 %. En cas d'absence de chiffre,0.7591,CONTINUITÉ
2025,entreprises des travaux publics et à 5 % du chiffre d'affaires pour les bureaux,Établissements Publics Administratifs et des sociétés partiellement ou entièrement à capital,0.6562,RUPTURE
2025,d'études fonctionnant conformément à la réglementation relative aux,"impliquées lors du suivi et de l’évaluation, du",0.7921,CONTINUITÉ
2025,Sont toutefois exclues de la déduction les rémunérations versées hors de la,bénéfice imposable avant déduction des frais en cause.,0.7472,CONTINUITÉ
2025,Communauté Économique et Monétaire de l'Afrique Centrale (CEMAC) au,CEMAC Communauté Economique et Monétaire de l’Afrique Centrale,0.9557,CONTINUITÉ
2025,"""""-1-- L S E E G R 0 ! VI P C t E I l. � E t: S A E C N C D €' E S R K T R L � AT R T U T L I O E � F R G Y I IS � E L m � E: T , I R F E s E � T i R � N E D G I F N L D È O E M Ly , E R I S N C E M T","� b t U u F , t .,. C c H T IF 1T R T 1 1 I A T E n R D G I v I A S u L T "" rn T G I� A E !: E N r. T E 1 R 11 R IN L O E F M X E S N E î R A V I I R C E E",0.8809,CONTINUITÉ
2025,• Les commissions ou courtages portant sur les marchandises achetées pour,3) Ressources de la vente des documents sécurisés de Transport des Produits Fauniques,0.7715,CONTINUITÉ
2025,"le compte des entreprises situées au Cameroun, dans la limite de 1 % du",sous la dépendance ou qui possèdent le contrôle d'entreprises situées au Cameroun ou hors,0.8415,CONTINUITÉ
2025,montant des achats. Ces commissions doivent faire l'objet d'une facture,"au Trésor. Dans ce cas, le montant à payer peut faire l'objet d'un",0.8013,CONTINUITÉ
2025,"Toutefois, lorsqu'elles profitent à une entreprise située hors de la",entreprises qui sont sous la dépendance ou qui contrôlent d'autres entreprises au sens de,0.708,CONTINUITÉ
2025,Communauté Economique et Monétaire de l'Afrique Centrale (CEMAC) et,CEMAC Communauté Economique et Monétaire de l’Afrique Centrale,0.9686,CONTINUITÉ
2025,participant directement ou indirectement à la gestion ou au capital d'une,Établissements Publics Administratifs et des sociétés partiellement ou entièrement à capital,0.7696,CONTINUITÉ
2025,"entreprise camerounaise, elles sont considérées comme distribution des","entreprise établie au Cameroun détenue, directement ou indirectement, par une",0.7806,CONTINUITÉ
2025,"A l'occasion de congés de leurs associés salariés de l'entreprise, les sociétés",un état récapitulatif des opérations réalisées avec les entreprises au sens,0.7264,CONTINUITÉ
2025,"sont admises à porter en déduction de leur bcénéfice, à condition que le","de la rareté du phénomène, il s’agirait d’une",0.8179,CONTINUITÉ
2025,"voyage ait été effectué, les frais de transport aller et retour desdits associés,",6) Les frais de délivrance des autorisations de gestion des voyages dans les,0.7787,CONTINUITÉ
2025,de leurs épouses ou époux et de leurs enfants à charge.,à la famille et aux enfants (Annuaire statistique),0.6039,RUPTURE
